Date,Projected Cum. GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion),Projected GBMSM cases (post. 10%; 12wk reversion),Projected GBMSM cases (post. 90%; 12wk reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12wk reversion + ceased vac rollout),Projected Cum. GBMSM cases (post. mean; 4wk reversion),Projected GBMSM cases (post. 10%; 4wk reversion),Projected GBMSM cases (post. 90%; 4wk reversion),Projected Cum. GBMSM cases (post. mean; 4wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4wk reversion + ceased vac rollout)
2022-12-26,3334.6853923380004,3227.9818923380003,3466.9818923380003,3414.375892338,3234.981892338,3663.1818923379997,3533.7968923380004,3243.9818923380003,3941.181892338,3835.7943923380003,3263.9818923380003,4686.481892337999,4341.593392338,3282.981892338,5915.281892338
2023-01-02,3334.876392338,3227.9818923380003,3467.081892338,3422.9883923380003,3234.9818923380003,3695.9818923380003,3565.0563923380005,3243.9818923380003,4023.9818923380003,3873.4368923380002,3263.9818923380003,4787.581892337999,4442.126892338,3282.9818923380003,6194.081892337999
2023-01-09,3335.014892338,3227.9818923380003,3467.9818923380003,3431.8748923380003,3234.9818923380003,3721.381892338,3598.233392338,3243.9818923380003,4104.581892337999,3910.0113923380004,3263.9818923380003,4882.281892338,4542.597392338001,3283.9818923380008,6531.981892337999
2023-01-16,3335.130392338,3227.981892338,3467.981892338,3440.9983923380005,3234.9818923380003,3741.9818923380003,3632.938392338,3243.981892338,4201.481892338,3945.3798923380004,3263.9818923380003,4985.481892338,4641.847892338001,3283.9818923380008,6733.181892338001
2023-01-23,3335.2193923380005,3227.9818923380003,3468.081892338,3450.1383923380004,3234.9818923380003,3766.081892338,3668.554392338,3244.881892338,4316.181892338,3979.1518923380004,3263.9818923380003,5069.181892338,4740.491892338,3284.981892338,6945.081892338
2023-01-30,3335.277892338,3227.9818923380003,3468.9818923380003,3459.373892338,3234.9818923380003,3794.9818923380003,3704.880892338,3244.8818923380004,4405.181892338,4011.432392338,3263.9818923380003,5167.181892338,4837.974892338,3284.9818923380003,7224.481892338
2023-02-06,3335.3238923380004,3227.9818923380003,3468.9818923380003,3468.7048923380003,3234.9818923380003,3811.9818923380003,3741.1238923380006,3244.9818923380008,4484.181892338001,4042.454392338,3264.8818923380004,5257.581892337999,4933.278892338,3284.9818923380003,7443.381892338
2023-02-13,3335.3568923380003,3227.9818923380003,3468.9818923380003,3477.802392338,3234.9818923380003,3838.281892338,3777.737392338,3245.981892338,4579.481892337999,4072.298392338,3264.8818923380004,5336.281892338,5025.616392338,3285.981892338,7712.8818923379995
2023-02-20,3335.384892338,3227.9818923380003,3468.9818923380003,3486.773892338,3234.9818923380003,3864.181892338,3814.665892338,3245.981892338,4686.5818923379975,4100.925892338,3264.8818923380004,5416.981892338001,5115.515892338,3287.9818923380003,8032.081892337999
2023-02-27,3335.4038923380003,3227.9818923380003,3468.9818923380003,3495.572892338,3234.9818923380003,3890.281892338,3851.4758923380004,3245.9818923380003,4809.781892338,4128.6723923380005,3264.9818923380003,5499.281892338,5202.7928923380005,3287.9818923380008,8363.881892338
2023-03-06,3335.4198923380004,3227.9818923380003,3468.9818923380003,3504.226892338,3234.9818923380003,3918.381892338,3888.188392338,3245.981892338,4916.181892338,4155.122892338,3264.9818923380003,5558.081892338,5286.374892338001,3287.9818923380008,8566.881892338
