Date,Projected GBMSM cases (post. mean; unmitigated),Projected GBMSM cases (post. 10%; unmitigated),Projected GBMSM cases (post. 90%; unmitigated),Projected GBMSM cum. cases (post. mean; unmitigated),Projected GBMSM cum. cases (post. 10%; unmitigated),Projected GBMSM cum. cases (post. 90%; unmitigated),Projected non-GBMSM cases (post. mean; unmitigated),Projected non-GBMSM cases (post. 10%; unmitigated),Projected non-GBMSM cases (post. 90%; unmitigated),Projected non-GBMSM cum. cases (post. mean; unmitigated),Projected non-GBMSM cum. cases (post. 10%; unmitigated),Projected non-GBMSM cum. cases (post. 90%; unmitigated)
2022-08-01,813.1365,289.0,1532.1,5106.231,1886.8000000000002,8969.699999999999,133.542,30.0,268.0999999999999,629.701,169.8,1223.1
2022-08-08,832.1645,279.0,1566.1,5938.3955,2308.7,10315.9,150.45,36.900000000000006,304.2999999999997,780.151,209.0,1518.1
2022-08-15,830.9795,246.0,1640.2999999999997,6769.375,2803.8,11683.599999999999,164.4755,42.0,322.0999999999999,944.6265,255.0,1839.0
2022-08-22,815.254,199.0,1663.1999999999998,7584.629,3342.5,13124.999999999996,174.2125,45.0,344.0,1118.839,309.0,2190.2
2022-08-29,786.4235,159.0,1695.1,8371.0525,3787.8,14622.099999999997,180.5925,44.0,354.0,1299.4315,372.9,2522.199999999999
2022-09-05,741.3375,117.0,1629.0,9112.39,4143.1,15968.699999999999,182.5605,40.900000000000006,366.0999999999999,1481.992,440.89999999999986,2844.4999999999995
2022-09-12,690.9155,90.0,1567.1,9803.3055,4381.8,17168.599999999995,181.4415,38.0,379.0,1663.4335,501.9000000000001,3171.2
2022-09-19,633.0065,63.0,1512.1999999999998,10436.312,4606.0,18362.8,177.102,32.0,375.1999999999998,1840.5355,562.9000000000001,3484.099999999999
2022-09-26,571.785,44.0,1401.6999999999994,11008.097,4810.1,19512.1,169.805,26.0,367.0999999999999,2010.3405,617.0,3782.4999999999986
2022-10-03,508.1255,30.0,1307.3999999999996,11516.2225,4981.7,20251.699999999997,160.535,21.0,359.0,2170.8755,668.0,4107.399999999999
2022-10-10,446.648,21.0,1178.5999999999995,11962.8705,5148.1,21076.6,150.391,16.0,350.0999999999999,2321.2665,720.9000000000001,4433.199999999999
2022-10-17,386.99,14.0,1042.1,12349.8605,5253.3,21831.3,136.964,12.0,330.2999999999997,2458.2305,770.0,4645.699999999999
2022-10-24,334.1425,9.0,934.1999999999998,12684.003,5361.8,22469.1,124.7925,9.0,312.0,2583.023,809.9000000000001,4902.1
2022-10-31,284.5825,7.0,843.0999999999999,12968.5855,5479.6,23086.499999999996,112.59,7.0,288.1999999999998,2695.613,846.7,5141.199999999999
2022-11-07,240.0725,4.0,716.2999999999997,13208.658,5577.9,23809.899999999994,99.502,5.0,259.2999999999997,2795.115,869.8,5358.799999999999
2022-11-14,201.412,3.0,612.1999999999998,13410.07,5630.0,24101.99999999999,87.6605,3.0,226.0999999999999,2882.7755,885.8,5575.4
2022-11-21,167.71,2.0,525.1999999999998,13577.78,5679.5,24572.199999999997,76.5815,2.0,205.0,2959.357,913.0,5700.0
2022-11-28,139.5245,1.0,447.0999999999999,13717.3045,5704.3,24810.899999999998,66.0585,1.0,178.0,3025.4155,927.8000000000002,5795.0
2022-12-05,115.5995,0.0,363.1999999999998,13832.904,5725.9,25020.699999999997,56.512,1.0,156.0999999999999,3081.9275,934.8000000000002,5918.799999999999
2022-12-12,95.8965,0.0,298.0,13928.8005,5729.699999999999,25295.999999999993,48.497,1.0,137.0,3130.4245,945.9000000000001,6016.299999999997
2022-12-19,79.656,0.0,247.0999999999999,14008.4565,5752.299999999999,25531.299999999996,40.9965,0.0,125.0,3171.421,955.9000000000001,6110.399999999999
2022-12-26,66.5205,0.0,197.19999999999982,14074.977,5755.9,25698.199999999997,34.456,0.0,99.0,3205.877,959.7999999999997,6203.5
2023-01-02,54.879,0.0,150.0999999999999,14129.856,5762.799999999999,25949.3,29.384,0.0,87.09999999999991,3235.261,960.7000000000003,6277.5
2023-01-09,45.759,0.0,119.0,14175.615,5772.0,25986.89999999999,24.492,0.0,71.0,3259.753,970.5999999999999,6304.599999999999
2023-01-16,38.5785,0.0,96.0,14214.1935,5779.4,26120.8,20.5555,0.0,59.0,3280.3085,975.5,6313.499999999998
2023-01-23,31.896,0.0,79.0,14246.0895,5779.5,26125.199999999997,16.9635,0.0,47.09999999999991,3297.272,976.0,6345.699999999999
2023-01-30,26.5885,0.0,59.0,14272.678,5779.6,26127.799999999992,14.433,0.0,40.0,3311.705,979.5999999999999,6375.599999999999
2023-02-06,21.8615,0.0,47.0,14294.5395,5779.6,26130.299999999992,11.956,0.0,31.09999999999991,3323.661,979.5999999999999,6399.5
2023-02-13,18.1175,0.0,36.0,14312.657,5779.6,26132.599999999988,10.046,0.0,25.0,3333.707,979.5999999999999,6414.1
2023-02-20,15.007,0.0,30.0,14327.664,5783.6,26141.399999999987,8.3325,0.0,21.0,3342.0395,979.5999999999999,6426.1
2023-02-27,12.667,0.0,23.0,14340.331,5783.6,26235.799999999996,7.0305,0.0,17.0,3349.07,982.7999999999997,6435.0999999999985
2023-03-06,10.2875,0.0,17.0,14350.6185,5804.4,26279.4,5.6885,0.0,13.0,3354.7585,983.0,6461.299999999999
2023-03-13,8.4915,0.0,14.0,14359.11,5808.0,26279.4,4.6505,0.0,11.0,3359.409,983.0,6463.499999999998
2023-03-20,6.9385,0.0,10.0,14366.0485,5808.0,26279.4,4.034,0.0,8.0,3363.443,983.0,6463.499999999998
2023-03-27,5.65,0.0,8.0,14371.6985,5808.0,26279.4,3.2295,0.0,6.0,3366.6725,984.7999999999997,6464.399999999998
2023-04-03,4.6755,0.0,6.0,14376.374,5808.0,26279.4,2.6955,0.0,5.0,3369.368,986.7999999999997,6478.799999999999
2023-04-10,3.7355,0.0,4.0,14380.1095,5808.0,26279.4,2.173,0.0,4.0,3371.541,986.8000000000002,6486.0
2023-04-17,3.145,0.0,3.0,14383.2545,5808.0,26279.4,1.8145,0.0,4.0,3373.3555,986.7999999999997,6493.699999999999
