Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4 wk reversion + ceased vac rollout)
2022-10-31,NA,3.224,0.0,8.0,8.7125,0.0,21.0,15.516,0.9000000000000057,36.0,46.5465,1.0,116.0,81.875,3.0,189.0
2022-11-07,NA,2.351,0.0,6.0,7.971,0.0,20.0,15.3925,0.0,36.0,47.206,1.0,119.19999999999982,92.334,2.0,218.0999999999999
2022-11-14,NA,1.6975,0.0,5.0,7.408,0.0,19.0,15.966,0.0,39.0,47.6855,0.0,123.09999999999991,100.6105,2.0,244.0999999999999
2022-11-21,NA,1.1895,0.0,4.0,7.174,0.0,19.0,17.775,0.0,45.0,47.898,0.0,124.09999999999991,107.2735,1.0,259.0999999999999
2022-11-28,NA,0.863,0.0,3.0,7.606,0.0,20.0,20.0405,0.0,51.0,47.966,0.0,127.09999999999991,111.7635,1.0,271.0
2022-12-05,NA,0.6555,0.0,2.0,7.9485,0.0,22.09999999999991,23.1495,0.0,61.0,47.572,0.0,123.09999999999991,115.7765,1.0,280.0999999999999
2022-12-12,NA,0.4835,0.0,2.0,8.5865,0.0,24.09999999999991,27.1975,0.0,70.0,46.7275,0.0,123.0,117.494,0.0,289.0
2022-12-19,NA,0.3475,0.0,1.0,8.8705,0.0,25.0,30.6665,0.0,78.0,45.888,0.0,122.09999999999991,118.6365,0.0,285.0
2022-12-26,NA,0.289,0.0,1.0,9.3715,0.0,25.09999999999991,33.5155,0.0,89.09999999999991,44.284,0.0,111.09999999999991,119.788,0.0,284.1999999999998
2023-01-02,NA,0.207,0.0,1.0,9.8395,0.0,27.0,36.634,0.0,96.09999999999991,42.2235,0.0,114.19999999999982,119.9685,0.0,283.1999999999998
2023-01-09,NA,0.179,0.0,0.0,9.9535,0.0,28.0,38.581,0.0,106.0,41.1975,0.0,112.0,118.9065,0.0,295.0999999999999
2023-01-16,NA,0.127,0.0,0.0,10.2515,0.0,27.0,40.3085,0.0,110.09999999999991,39.3045,0.0,102.0,116.8955,0.0,282.0999999999999
2023-01-23,NA,0.094,0.0,0.0,10.2255,0.0,26.0,41.48,0.0,114.09999999999991,38.6215,0.0,99.0,115.269,0.0,286.39999999999964
2023-01-30,NA,0.0885,0.0,0.0,10.1565,0.0,27.0,42.0275,0.0,115.09999999999991,36.4855,0.0,92.0,112.5695,0.0,282.7999999999993
2023-02-06,NA,0.071,0.0,0.0,10.0655,0.0,28.0,42.534,0.0,124.09999999999991,36.017,0.0,90.0,108.349,0.0,261.1999999999998
2023-02-13,NA,0.057,0.0,0.0,10.0725,0.0,27.0,43.2615,0.0,121.0,35.0005,0.0,86.0,104.7725,0.0,267.0999999999999
2023-02-20,NA,0.0455,0.0,0.0,9.8595,0.0,25.09999999999991,43.631,0.0,127.0,33.1845,0.0,82.0,100.108,0.0,260.0999999999999
2023-02-27,NA,0.028,0.0,0.0,9.723,0.0,26.0,43.769,0.0,129.0,32.2535,0.0,76.09999999999991,94.8195,0.0,251.0
2023-03-06,NA,0.0315,0.0,0.0,9.514,0.0,24.0,44.0455,0.0,132.0999999999999,30.6535,0.0,73.0,91.217,0.0,243.0999999999999
