Date,"Risk trans. per sx cnt (post. mean, no reversion)","Risk trans. per sx cnt (post. 25%, no reversion)","Risk trans. per sx cnt (post. 75%, no reversion)","Risk trans. per sx cnt (post. mean, 4wk reversion)","Risk trans. per sx cnt (post. 25%, 4wk reversion)","Risk trans. per sx cnt (post. 75%, 4wk reversion)","Risk trans. per sx cnt (post. mean, 12wk reversion)","Risk trans. per sx cnt (post. 25%, 12wk reversion)","Risk trans. per sx cnt (post. 75%, 12wk reversion)"
2022-06-23,0.2528629278702821,0.17324086473585618,0.33248499100470796,0.25286292787052556,0.1732408647362017,0.3324849910048494,0.2528640389454429,0.17324244114878107,0.33248563674210474
2022-06-24,0.24719685154769144,0.16720670414372202,0.32718699895166087,0.2471968515480296,0.1672067041439917,0.3271869989520675,0.24719809122538922,0.1672076923598089,0.3271884900909695
2022-06-25,0.24247390178133596,0.1618939675703852,0.3230538359922867,0.2424739017818058,0.1618939675708047,0.3230538359928069,0.24247528494671644,0.16189520253172865,0.32305536736170426
2022-06-26,0.23806837719508933,0.15826303369496414,0.3178737206952145,0.23806837719574186,0.158263033695355,0.31787372069612874,0.23806992045616315,0.15826395796665002,0.31787588294567626
2022-06-27,0.23230725592765286,0.15402325317250162,0.3105912586828041,0.23230725592855925,0.15402325317392968,0.3105912586831888,0.2323089778147016,0.1540259658407266,0.31059198978867664
2022-06-28,0.22739643940006488,0.14854974364925708,0.30624313515087265,0.22739643940132384,0.1485497436508727,0.306243135151775,0.22739836058812546,0.1485522089352294,0.3062445122410215
2022-06-29,0.22147722481452808,0.14544251078349094,0.29751193884556526,0.22147722481627682,0.14544251078504447,0.29751193884750915,0.2214793683716248,0.14544441496943483,0.29751432177381476
2022-06-30,0.21770670563949523,0.14101312277629874,0.29440028850269173,0.2177067056419242,0.14101312277694278,0.29440028850690564,0.21770909730360172,0.14101375691094944,0.294404437696254
2022-07-01,0.21201455305132116,0.13702743679054818,0.28700166931209414,0.2120145530546951,0.13702743679538945,0.28700166931400073,0.2120172215393737,0.13703126580417763,0.28700317727456975
2022-07-02,0.2084207680130004,0.13305765287539822,0.2837838831506026,0.2084207680176867,0.13305765287923157,0.2837838831561418,0.20842374536567324,0.13306015359616669,0.2837873371351798
2022-07-03,0.20474991453906052,0.1308851362662767,0.27861469281184437,0.20474991454556973,0.13088513627034726,0.2786146928207922,0.20475323650544053,0.13088721365299028,0.2786192593578908
2022-07-04,0.20165466792151987,0.12815980974132843,0.2751495261017113,0.201654667930561,0.128159809752753,0.27514952610836896,0.20165837438829698,0.12816449326104773,0.27515225551554623
2022-07-05,0.19721180453300877,0.12470837467702581,0.2697152343889917,0.1972118045455668,0.12470837469233781,0.2697152343987958,0.19721594000333226,0.1247134170216144,0.2697184629850501
2022-07-06,0.1928045896293841,0.12112880657269498,0.2644803726860732,0.1928045896468271,0.1211288065818476,0.2644803727118066,0.19280920375713118,0.12113122768218684,0.2644871798320755
2022-07-07,0.18971145851219898,0.11960330660966798,0.25981961041473,0.18971145853642693,0.11960330662600749,0.25981961044684637,0.18971660669806528,0.11960677857311286,0.2598264348230177
2022-07-08,0.18531562372831953,0.11613289792885506,0.254498349527784,0.18531562376197172,0.11613289796907861,0.25449834955486483,0.18532136778488412,0.11613976361986858,0.2545029719498997
2022-07-09,0.183451398294168,0.11524666152983953,0.2516561350584965,0.18345139834091037,0.11524666157693103,0.2516561351048897,0.18345780718790938,0.11525311828001977,0.251662496095799
2022-07-10,0.18241807046822608,0.11444208092884603,0.2503940600076061,0.18241807053315048,0.11444208100769654,0.25039406005860443,0.18242522114739154,0.11445076540113056,0.2503996768936525
