Date,"R0 GBMSM (post. mean, 4wk reversion)","R0 GBMSM (post. 25%, 4wk reversion)","R0 GBMSM (post. 75%, 4wk reversion)","R0 GBMSM (post. mean, 12wk reversion)","R0 GBMSM (post. 25%, 12wk reversion)","R0 GBMSM (post. 75%, 12wk reversion)"
2022-11-13,6.910139439426717,4.996963265959675,8.82331561289376,6.7604318072394545,4.887957298043766,8.632906316435143
2022-11-14,6.9101394443496735,4.996963269437326,8.823315619262022,6.7755092199050315,4.901416829456102,8.649601610353962
2022-11-15,6.910139447893961,4.996963271941066,8.823315623846856,6.789109315364156,4.911041222275002,8.667177408453309
2022-11-16,6.910139450445676,4.9969632737436385,8.823315627147714,6.8013689134075905,4.918808621638444,8.683929205176737
2022-11-17,6.910139452282791,4.996963275041403,8.823315629524178,6.812413699774963,4.925883128976991,8.698944270572934
2022-11-18,6.910139453605419,4.996963275975731,8.823315631235108,6.822358826121472,4.934486933845307,8.710230718397638
2022-11-19,6.910139454557651,4.9969632766484,8.823315632466901,6.83130954447086,4.9422304487516255,8.720388640190095
2022-11-20,6.910139455243211,4.996963277132691,8.823315633353731,6.839361856822237,4.947699747562773,8.731023966081702
2022-11-21,6.91013945573678,4.996963277481356,8.823315633992204,6.84660316484055,4.95228475193555,8.74092157774555
2022-11-22,6.910139456092126,4.9969632777323785,8.823315634451873,6.853112908147723,4.956678834225768,8.749546982069678
2022-11-23,6.910139456347959,4.9969632779131015,8.823315634782816,6.858963182708665,4.960811559483454,8.757114805933877
2022-11-24,6.9101394565321455,4.996963278043214,8.823315635021077,6.8642193332442565,4.964524586256874,8.76391408023164
2022-11-25,6.910139456664752,4.9969632781368905,8.823315635192614,6.868940515573156,4.967859703139599,8.770021328006713
2022-11-26,6.910139456760221,4.996963278204331,8.82331563531611,6.873180226354025,4.970854701006256,8.775505751701793
2022-11-27,6.910139456828954,4.996963278252884,8.823315635405024,6.876986798931803,4.973543723286068,8.780429874577539
2022-11-28,6.910139456878438,4.996963278287842,8.823315635469035,6.880403864942713,4.975957592047842,8.784850137837584
2022-11-29,6.910139456914065,4.996963278313008,8.823315635515122,6.883470782052049,4.978124110160618,8.78881745394348
2022-11-30,6.910139456939714,4.996963278331128,8.8233156355483,6.88622302872952,4.9800683401691215,8.79237771728992
2022-12-01,6.910139456958181,4.9969632783441735,8.823315635572188,6.888692567345473,4.981812860790615,8.79557227390033
2022-12-02,6.910139456971474,4.996963278353565,8.823315635589383,6.890908177128803,4.983378002121567,8.798438352136039
2022-12-03,6.910139456981048,4.996963278360326,8.82331563560177,6.892895758689268,4.98478206075695,8.801009456621586
2022-12-04,6.9101394569879355,4.996963278365194,8.823315635610676,6.894678611894582,4.9860414960869655,8.803315727702199
2022-12-05,6.910139456992898,4.996963278368698,8.823315635617098,6.89627768892367,4.987171109057817,8.805384268789522
2022-12-06,6.91013945699647,4.996963278371222,8.823315635621718,6.8977118243056195,4.988184204674817,8.807239443936421
2022-12-07,6.910139456999042,4.996963278373038,8.823315635625047,6.898997943710847,4.989092739495707,8.808903147925987
2022-12-08,6.910139457000895,4.996963278374347,8.823315635627443,6.90015125319533,4.989907455315758,8.810395051074902
2022-12-09,6.910139457002225,4.996963278375287,8.823315635629164,6.9011854105184085,4.9906380001893345,8.811732820847482
2022-12-10,6.910139457003188,4.996963278375967,8.82331563563041,6.902112680064236,4.991293037868815,8.812932322259655
2022-12-11,6.910139457003876,4.9969632783764535,8.823315635631298,6.902944072801416,4.991880346674273,8.814007798928559
2022-12-12,6.910139457004376,4.996963278376806,8.823315635631946,6.903689472617815,4.992406908738367,8.814972036497263
2022-12-13,6.9101394570047345,4.9969632783770574,8.823315635632412,6.9043577502702895,4.992878990502181,8.815836510038398
2022-12-14,6.910139457004991,4.99696327837724,8.823315635632742,6.904956866093904,4.993302215270648,8.81661151691716
2022-12-15,6.910139457005179,4.996963278377372,8.823315635632985,6.905493962523751,4.993681628571395,8.817306296476108
2022-12-16,6.910139457005313,4.996963278377466,8.82331563563316,6.905975447395074,4.994021756999245,8.817929137790902
2022-12-17,6.910139457005408,4.996963278377534,8.823315635633282,6.906407068904837,4.994326661170251,8.818487476639422
2022-12-18,6.910139457005475,4.996963278377583,8.823315635633367,6.906793983040705,4.9945999833545685,8.818987982726842
2022-12-19,6.910139457005526,4.996963278377618,8.823315635633435,6.907140814211124,4.994844990306501,8.819436638115747
2022-12-20,6.910139457005561,4.996963278377644,8.82331563563348,6.907451709743542,4.995064611762886,8.8198388077242
2022-12-21,6.910139457005587,4.996963278377661,8.823315635633513,6.907730388855916,4.995261475037335,8.820199302674498
2022-12-22,6.910139457005605,4.996963278377675,8.823315635633534,6.907980186650052,4.995437936097819,8.820522437202285
2022-12-23,6.910139457005618,4.9969632783776845,8.823315635633552,6.908204093623208,4.9955961074782715,8.820812079768146
2022-12-24,6.910139457005628,4.996963278377692,8.823315635633564,6.908404791146769,4.995737883341291,8.821071698952249
2022-12-25,6.910139457005636,4.996963278377697,8.823315635633575,6.908584683317473,4.9958649619783335,8.821304404656612
2022-12-26,6.91013945700564,4.9969632783777,8.82331563563358,6.908745925547055,4.995978866005889,8.82151298508822
2022-12-27,6.910139457005643,4.996963278377702,8.823315635633584,6.9088904502203246,4.996080960490748,8.821699939949902
2022-12-28,6.910139457005646,4.996963278377704,8.823315635633588,6.909019989719045,4.996172469214424,8.821867510223665
2022-12-29,6.910139457005648,4.996963278377705,8.823315635633591,6.9091360970794815,4.996254489265975,8.822017704892989
2022-12-30,6.910139457005649,4.996963278377707,8.823315635633591,6.909240164524757,4.996328004133546,8.822152324915969
2022-12-31,6.910139457005651,4.996963278377708,8.823315635633595,6.909333440088991,4.996393895447913,8.82227298473007
2023-01-01,6.910139457005651,4.996963278377708,8.823315635633595,6.909417042528337,4.996452953515887,8.822381131540787
2023-01-02,6.910139457005652,4.9969632783777085,8.823315635633595,6.909491974694409,4.996505886767501,8.822478062621316
2023-01-03,6.910139457005652,4.9969632783777085,8.823315635633595,6.909559135527796,4.996553330228414,8.822564940827178
2023-01-04,6.910139457005652,4.9969632783777085,8.823315635633595,6.909619330813319,4.996595853117602,8.822642808509038
2023-01-05,6.910139457005653,4.9969632783777085,8.823315635633598,6.909673282824355,4.9966339656602505,8.82271259998846
2023-01-06,6.910139457005653,4.9969632783777085,8.823315635633598,6.909721638970513,4.996668125196613,8.822775152744413
2023-01-07,6.910139457005653,4.9969632783777085,8.823315635633598,6.909764979551294,4.996698741659315,8.822831217443273
2023-01-08,6.910139457005653,4.9969632783777085,8.823315635633598,6.9098038247079,4.996726182484212,8.822881466931587
2023-01-09,6.910139457005653,4.9969632783777085,8.823315635633598,6.909838640655819,4.99675077701321,8.822926504298428
2023-01-10,6.910139457005653,4.9969632783777085,8.823315635633598,6.909869845272509,4.996772820441465,8.822966870103553
2023-01-11,6.910139457005653,4.9969632783777085,8.823315635633598,6.909897813106667,4.996792577356022,8.823003048857313
2023-01-12,6.910139457005653,4.9969632783777085,8.823315635633598,6.909922879868897,4.996810284908086,8.823035474829707
2023-01-13,6.910139457005653,4.9969632783777085,8.823315635633598,6.9099453464573255,4.996826155656799,8.823064537257853
2023-01-14,6.910139457005653,4.9969632783777085,8.823315635633598,6.909965482566317,4.996840380118465,8.82309058501417
2023-01-15,6.910139457005653,4.9969632783777085,8.823315635633598,6.909983529921316,4.996853129051708,8.823113930790925
2023-01-16,6.910139457005653,4.9969632783777085,8.823315635633598,6.909999705178557,4.99686455550588,8.823134854851235
2023-01-17,6.910139457005653,4.9969632783777085,8.823315635633598,6.910014202524323,4.9968747966571945,8.82315360839145
2023-01-18,6.910139457005653,4.9969632783777085,8.823315635633598,6.910027196004808,4.996883975454603,8.823170416555014
2023-01-19,6.910139457005653,4.9969632783777085,8.823315635633598,6.910038841614527,4.996892202095067,8.823185481133986
2023-01-20,6.910139457005653,4.9969632783777085,8.823315635633598,6.91004927916825,4.996899575345921,8.82319898299058
2023-01-21,6.910139457005653,4.9969632783777085,8.823315635633598,6.910058633978883,4.996906183730157,8.823211084227609
2023-01-22,6.910139457005653,4.9969632783777085,8.823315635633598,6.91006701836141,4.996912106588832,8.823221930133988
2023-01-23,6.910139457005653,4.9969632783777085,8.823315635633598,6.910074532980899,4.996917415033323,8.823231650928475
2023-01-24,6.910139457005653,4.9969632783777085,8.823315635633598,6.910081268060757,4.996922172798853,8.823240363322661
2023-01-25,6.910139457005653,4.9969632783777085,8.823315635633598,6.9100873044656925,4.996926437009512,8.823248171921872
2023-01-26,6.910139457005653,4.9969632783777085,8.823315635633598,6.9100927146723805,4.996930258863955,8.823255170480806
2023-01-27,6.910139457005653,4.9969632783777085,8.823315635633598,6.910097563639469,4.996933684249985,8.823261443028953
2023-01-28,6.910139457005653,4.9969632783777085,8.823315635633598,6.910101909587366,4.996936754295412,8.823267064879321
2023-01-29,6.910139457005653,4.9969632783777085,8.823315635633598,6.910105804697172,4.9969395058617705,8.823272103532574
2023-01-30,6.910139457005653,4.9969632783777085,8.823315635633598,6.910109295737086,4.9969419719868515,8.82327661948732
2023-01-31,6.910139457005653,4.9969632783777085,8.823315635633598,6.910112424623886,4.996944182281322,8.82328066696645
2023-02-01,6.910139457005653,4.9969632783777085,8.823315635633598,6.910115228926156,4.996946163284213,8.823284294568097
2023-02-02,6.910139457005653,4.9969632783777085,8.823315635633598,6.910117742315318,4.9969479387815445,8.823287545849091
2023-02-03,6.910139457005653,4.9969632783777085,8.823315635633598,6.910119994969888,4.99694953009189,8.823290459847886
2023-02-04,6.910139457005653,4.9969632783777085,8.823315635633598,6.910122013937798,4.996950956322333,8.823293071553262
2023-02-05,6.910139457005653,4.9969632783777085,8.823315635633598,6.910123823461142,4.996952234597867,8.823295412324418
2023-02-06,6.910139457005653,4.9969632783777085,8.823315635633598,6.910125445267234,4.996953380267001,8.823297510267466
2023-02-07,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101268988294695,4.99695440708605,8.823299390572888
2023-02-08,6.910139457005653,4.9969632783777085,8.823315635633598,6.910128201601135,4.996955327384288,8.823301075817982
2023-02-09,6.910139457005653,4.9969632783777085,8.823315635633598,6.910129369224967,4.996956152211986,8.823302586237947
2023-02-10,6.910139457005653,4.9969632783777085,8.823315635633598,6.910130415720965,4.9969568914730935,8.823303939968836
2023-02-11,6.910139457005653,4.9969632783777085,8.823315635633598,6.910131353654736,4.9969575540441475,8.823305153265325
2023-02-12,6.910139457005653,4.9969632783777085,8.823315635633598,6.910132194288355,4.996958147880857,8.823306240695853
2023-02-13,6.910139457005653,4.9969632783777085,8.823315635633598,6.910132947715599,4.996958680113618,8.82330721531758
2023-02-14,6.910139457005653,4.9969632783777085,8.823315635633598,6.910133622983128,4.996959157133141,8.823308088833116
2023-02-15,6.910139457005653,4.9969632783777085,8.823315635633598,6.910134228199126,4.996959584667169,8.823308871731083
2023-02-16,6.910139457005653,4.9969632783777085,8.823315635633598,6.910134770630651,4.996959967849266,8.823309573412036
2023-02-17,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101352567908885,4.996960311280444,8.823310202301332
2023-02-18,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013569251735,4.996960619084417,8.823310765950282
2023-02-19,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101360830419765,4.996960894957109,8.823311271126844
2023-02-20,6.910139457005653,4.9969632783777085,8.823315635633598,6.910136433053958,4.996961142211035,8.82331172389688
2023-02-21,6.910139457005653,4.9969632783777085,8.823315635633598,6.910136746756029,4.996961363815074,8.823312129696983
2023-02-22,6.910139457005653,4.9969632783777085,8.823315635633598,6.910137027914943,4.996961562430118,8.823312493399769
2023-02-23,6.910139457005653,4.9969632783777085,8.823315635633598,6.910137279906692,4.996961740441023,8.823312819372362
2023-02-24,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101375057570475,4.996961899985239,8.823313111528856
2023-02-25,6.910139457005653,4.9969632783777085,8.823315635633598,6.910137708177892,4.996962042978483,8.823313373377301
2023-02-26,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101378895997785,4.996962171137736,8.82331360806182
2023-02-27,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138052201124,4.996962286001864,8.823313818400385
2023-02-28,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138197934348,4.996962388950087,8.823314006918608
2023-03-01,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138328549334,4.996962481218552,8.823314175880117
2023-03-02,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138445614437,4.996962563915169,8.823314327313705
2023-03-03,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138550535306,4.996962638032908,8.823314463037704
2023-03-04,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138644571776,4.996962704461737,8.823314584681816
2023-03-05,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138728852984,4.9969627639992975,8.82331469370667
2023-03-06,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138804390933,4.996962817360482,8.823314791421385
2023-03-07,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138872092638,4.996962865186024,8.823314878999252
2023-03-08,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138932771023,4.996962908050183,8.823314957491863
2023-03-09,6.910139457005653,4.9969632783777085,8.823315635633598,6.910138987154688,4.996962946467653,8.823315027841723
2023-03-10,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139035896635,4.996962980899724,8.823315090893546
2023-03-11,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139079582134,4.996963011759843,8.823315147404426
2023-03-12,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139118735733,4.996963039418557,8.82331519805291
2023-03-13,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139153827574,4.996963064207982,8.823315243447166
2023-03-14,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139185279019,4.9969630864257715,8.823315284132267
2023-03-15,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139213467712,4.996963106338706,8.823315320596718
2023-03-16,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139238732138,4.996963124185889,8.823315353278387
2023-03-17,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139261375649,4.996963140181621,8.823315382569678
2023-03-18,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139281670144,4.996963154517968,8.823315408822321
2023-03-19,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139299859305,4.996963167367075,8.823315432351535
2023-03-20,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139316161538,4.9969631788832265,8.82331545343985
