Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4 wk reversion + ceased vac rollout)
2022-09-19,NA,30.1245,8.0,57.0,33.0585,9.0,61.0,33.025,9.0,60.0,37.3675,10.0,71.0,38.3525,10.0,73.0
2022-09-26,NA,20.4455,5.0,41.0,24.9695,6.0,48.0,24.8595,6.0,48.0,34.89,8.0,71.0,35.944,8.0,71.0
2022-10-03,NA,13.7145,2.0,28.0,18.6615,4.0,37.0,18.827,4.0,38.0,34.415,6.0,74.0,35.973,6.0,75.0
2022-10-10,NA,9.0215,1.0,19.09999999999991,14.0125,2.0,29.0,14.846,2.0,31.09999999999991,36.4965,5.0,83.09999999999991,40.7785,5.0,92.0
2022-10-17,NA,6.11,0.0,13.0,11.143,1.0,25.0,12.5855,1.0,28.0,37.776,3.0,87.09999999999991,44.5245,3.0,101.0
2022-10-24,NA,4.011,0.0,9.099999999999909,9.156,1.0,22.0,10.788,1.0,25.0,36.9095,2.0,89.09999999999991,46.857,3.0,112.0
2022-10-31,NA,2.902,0.0,7.0,7.6635,0.0,19.0,9.544,0.0,23.0,36.2725,1.0,88.0,49.453,2.0,123.09999999999991
2022-11-07,NA,1.9275,0.0,5.0,6.6835,0.0,17.0,8.8765,0.0,23.0,35.7355,1.0,91.09999999999991,52.13,1.0,130.0
2022-11-14,NA,1.4485,0.0,4.0,6.118,0.0,16.0,8.7215,0.0,23.0,35.462,0.0,93.0,54.225,1.0,135.0999999999999
2022-11-21,NA,0.9845,0.0,3.0,5.837,0.0,16.0,8.867,0.0,24.0,35.2705,0.0,88.0,55.5025,0.0,139.0999999999999
2022-11-28,NA,0.7005,0.0,2.0,5.809,0.0,16.0,9.266,0.0,25.09999999999991,34.6515,0.0,91.0,56.2485,0.0,145.0999999999999
2022-12-05,NA,0.539,0.0,2.0,6.1105,0.0,17.0,10.279,0.0,28.0,34.3265,0.0,89.09999999999991,55.9735,0.0,139.0999999999999
2022-12-12,NA,0.409,0.0,1.0,6.397,0.0,18.0,11.352,0.0,33.0,32.883,0.0,87.0,55.5285,0.0,140.0
2022-12-19,NA,0.2805,0.0,1.0,6.479,0.0,19.0,12.1975,0.0,34.09999999999991,31.805,0.0,84.0,54.1915,0.0,136.0999999999999
2022-12-26,NA,0.225,0.0,1.0,6.641,0.0,19.0,12.993,0.0,37.0,30.807,0.0,79.09999999999991,53.0795,0.0,133.0999999999999
2023-01-02,NA,0.178,0.0,0.0,6.7385,0.0,18.0,13.651,0.0,39.0,29.5785,0.0,76.0,52.1855,0.0,129.0
2023-01-09,NA,0.122,0.0,0.0,6.77,0.0,18.0,14.1255,0.0,40.0,28.8675,0.0,72.09999999999991,50.934,0.0,124.0
2023-01-16,NA,0.0865,0.0,0.0,6.9375,0.0,19.0,14.6035,0.0,40.09999999999991,27.553,0.0,68.0,49.6,0.0,122.0
2023-01-23,NA,0.06,0.0,0.0,7.0495,0.0,17.0,15.066,0.0,42.0,26.0925,0.0,63.0,48.56,0.0,114.09999999999991
2023-01-30,NA,0.0545,0.0,0.0,6.886,0.0,18.0,15.0175,0.0,42.09999999999991,25.1195,0.0,62.0,47.0135,0.0,110.09999999999991
2023-02-06,NA,0.0385,0.0,0.0,6.989,0.0,18.0,15.0495,0.0,42.0,23.801,0.0,59.0,45.879,0.0,107.09999999999991
2023-02-13,NA,0.0325,0.0,0.0,6.8355,0.0,18.0,14.9595,0.0,42.0,22.319,0.0,54.0,44.6065,0.0,100.09999999999991
2023-02-20,NA,0.0215,0.0,0.0,6.8455,0.0,17.0,14.8935,0.0,41.09999999999991,21.076,0.0,49.0,43.0275,0.0,97.09999999999991
2023-02-27,NA,0.0215,0.0,0.0,6.526,0.0,16.0,14.614,0.0,41.0,19.8935,0.0,47.0,41.079,0.0,94.0
2023-03-06,NA,0.0125,0.0,0.0,6.4035,0.0,15.099999999999909,14.336,0.0,40.09999999999991,18.943,0.0,44.0,39.462,0.0,90.09999999999991
2023-03-13,NA,0.0105,0.0,0.0,6.22,0.0,15.099999999999909,14.37,0.0,40.0,17.6535,0.0,40.0,37.508,0.0,89.09999999999991
