Date,"R other (post. mean, no reversion)","R other (post. 25%, no reversion)","R other (post. 75%, no reversion)","R other (post. mean, 4wk reversion)","R other (post. 25%, 4wk reversion)","R other (post. 75%, 4wk reversion)","R other (post. mean, 12wk reversion)","R other (post. 25%, 12wk reversion)","R other (post. 75%, 12wk reversion)"
2022-10-05,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15522656372395607,0.10746349162243105,0.2029896358254811,0.07971456769486074,0.056064733249819934,0.10336440213990154
2022-10-06,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15526847252902506,0.10748364802990835,0.2030532970281418,0.08220430457475368,0.05822671903294906,0.10618189011655829
2022-10-07,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1552986651647674,0.1074981694429583,0.20309916088657648,0.08479566801266614,0.06046007156003717,0.10913126446529511
2022-10-08,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15532041294437324,0.10750862922835995,0.2031321966603865,0.08747856697651964,0.0625650593281255,0.11239207462491377
2022-10-09,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15533607576080266,0.1075161623973366,0.20315598912426872,0.09024105524804549,0.06473800565487173,0.11574410484121925
2022-10-10,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553473550654841,0.1075215872778801,0.20317312285308814,0.09306949089026066,0.06692714601608626,0.11921183576443506
2022-10-11,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15535547708853673,0.10752549363612439,0.20318546054094905,0.095948768684786,0.06901875515989452,0.12287878220967748
2022-10-12,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15536132531372202,0.10752830639133557,0.20319434423610847,0.0988626192939268,0.07074667400536461,0.126978564582489
2022-10-13,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15536553614751517,0.10753033162879139,0.20320074066623894,0.10179396387622971,0.07285554559779493,0.13073238215466448
2022-10-14,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15536856794854254,0.10753178980009448,0.2032053460969906,0.10472530845853262,0.07499785312398066,0.13445276379308457
2022-10-15,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553707508044676,0.1075328396638025,0.2032086619451327,0.10763915906767346,0.0771740414615249,0.13810427667382202
2022-10-16,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553723224099303,0.107533595541238,0.2032110492786226,0.11051843686219877,0.07887575094528299,0.14216112277911455
2022-10-17,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537345391818438,0.10753413975005988,0.2032127680863089,0.11334687250441396,0.08076871240651516,0.14592503260231277
2022-10-18,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537426856404526,0.1075345315611338,0.20321400556695673,0.11610936077593981,0.08251089139433682,0.1497078301575428
2022-10-19,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537485507722443,0.107534813649793,0.20321489650465585,0.11879225973979332,0.08429387404123032,0.15329064543835633
2022-10-20,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537527734224327,0.10753501674185847,0.20321553794262806,0.12138362317770571,0.08592882858441889,0.15683841777099253
2022-10-21,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553755813546379,0.10753516295928686,0.2032159997499889,0.12387336005759868,0.08761616857315797,0.16013055154203937
2022-10-22,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537580022988576,0.1075352682292576,0.2032163322305139,0.12625331985919486,0.08922883145776642,0.1632778082606233
2022-10-23,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553759578100026,0.1075353440187973,0.2032165716012079,0.12851730720579765,0.09062052630180631,0.166414088109789
2022-10-24,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537607126033123,0.10753539858372818,0.20321674393693429,0.13066103303437865,0.09237684179628172,0.16894522427247557
2022-10-25,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537615293921442,0.10753543786790365,0.2032168680105252,0.13268201225305784,0.09356757521569131,0.17179644929042437
2022-10-26,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.155376211744126,0.1075354661506418,0.2032169573376102,0.13457941941048762,0.09495269066911166,0.17420614815186358
2022-10-27,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537625408085035,0.10753548651286082,0.20321702164883987,0.13635391439807454,0.0960207712510392,0.17668705754510988
2022-10-28,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537628456125935,0.10753550117268093,0.20321706794983777,0.13800744978675306,0.09714489895978179,0.17887000061372432
2022-10-29,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537630650568626,0.10753551172704559,0.20321710128432693,0.13954307028686638,0.09812308074173498,0.18096305983199779
2022-10-30,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537632230461498,0.10753551932567895,0.20321712528355101,0.14096471325256585,0.09892030724080902,0.18300911926432267
2022-10-31,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763336790803,0.10753552479632783,0.20321714256183276,0.14227701735692946,0.09946267996556622,0.1850913547482927
2022-11-01,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537634186814514,0.10753552873493043,0.20321715500135984,0.14348514473118876,0.10005659368506806,0.18691369577730946
2022-11-02,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537634776387546,0.10753553157053365,0.20321716395721728,0.14459462013516697,0.10054487908139012,0.18864436118894382
2022-11-03,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537635200851582,0.10753553361203064,0.203217170405001,0.14561118920226124,0.10126240708278796,0.18995997132173453
2022-11-04,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763550644511,0.10753553508180956,0.20321717504709264,0.14654069653330787,0.10193164365925582,0.1911497494073599
2022-11-05,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763572645765,0.10753553613997915,0.20321717838917383,0.14738898341609824,0.10252457092905805,0.19225339590313845
2022-11-06,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537635884856008,0.10753553690180997,0.20321718079531018,0.14816180421163352,0.10298329408802279,0.19334031433524426
2022-11-07,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763599889515,0.10753553745029124,0.20321718252761176,0.1488647599477884,0.1033858057742125,0.19434371412136428
2022-11-08,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.155376360809978,0.10753553784517114,0.20321718377478484,0.14950324736003556,0.10373125871293024,0.1952752360071409
2022-11-09,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636140107733,0.10753553812946551,0.20321718467268915,0.1500824214781878,0.1040769209698213,0.19608792198655428
2022-11-10,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763618266401,0.1075355383341437,0.20321718531913652,0.1506071698397196,0.10438798850249995,0.19682635117693928
2022-11-11,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636213302472,0.10753553848150206,0.2032171857845474,0.15108209647986087,0.10469590100846134,0.19746829195126042
2022-11-12,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763623536068,0.10753553858759293,0.20321718611962067,0.1515115139771146,0.10501858340800803,0.19800444454622118
2022-11-13,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763625124152,0.10753553866397322,0.2032171863608572,0.1518994419965176,0.10527142674749874,0.19852745724553644
2022-11-14,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636262674956,0.10753553871896332,0.2032171865345358,0.15224961095355535,0.10548638119705483,0.19901284071005587
2022-11-15,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636270906466,0.10753553875855351,0.2032171866595758,0.1525654696057104,0.10560687242672329,0.19952406678469753
2022-11-16,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636276832756,0.10753553878705654,0.20321718674959857,0.1528501955567598,0.10575333478206196,0.19994705633145765
2022-11-17,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636281099407,0.10753553880757734,0.2032171868144108,0.15310670782506144,0.10591403007877816,0.20029938557134475
2022-11-18,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1553763628417118,0.10753553882235133,0.20321718686107226,0.15333768077762347,0.10606709783418278,0.20060826372106416
2022-11-19,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636286382714,0.10753553883298786,0.20321718689466642,0.15354555886510854,0.10621628516243777,0.20087483256777933
2022-11-20,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15537636287974907,0.10753553884064566,0.2032171869188525,0.1537325717087818,0.10635294916376484,0.20111219425379875
